"These are the prov climates for the Sx CC/genecology trial, queried by Greg March 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data from ClimateBC ver 5.40 (about 66 prov) and ClimWNA 5.4 (the remainder, except one Ont prov which is from ClimNA 5.40)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are normals for 1961-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta SO pops designated as Class B because GW < 3.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
seedlot_code,seedlot_number,seedlot_name,Province,Class,lat_P,long_P,elev_P,MAT_P,MWMT_P,MCMT_P,TD_P,MAP_P,MSP_P,AHM_P,SHM_P,DD_0_P,DD5_P,DD_18_P,DD18_P,NFFD_P,bFFP_P,eFFP_P,FFP_P,PAS_P,EMT_P,EXT_P,Eref_P,CMD_P,MAR_P,RH_P
376,783,Steen River,AB,B,50.78,-115.330002,1859,0.1,11.8,-11.4,23.3,1331,501,7.6,23.6,1463,686,6513,6,121,173,243,70,777,-45.3,30.7,425,17,12.6,62
377,784,Saddle Hills,AB,B,59.53,-117.220001,305,-2.3,16.1,-23.6,39.7,374,223,20.5,72,2800,1141,7404,33,138,148,246,98,140,-49.4,34.5,440,203,10.6,57
378,2403,Slave Lake,AB,B,55.68,-119.669998,731,1.2,14.8,-14.9,29.8,521,318,21.5,46.6,1636,1143,6122,24,149,149,250,101,170,-46.6,32.8,508,152,11.5,57
379,2510,Grande Prairie,AB,B,56.58,-115.25,731,-0.7,15.1,-21.1,36.2,468,307,19.8,49.1,2170,1070,6807,22,140,157,244,87,140,-44.6,32.9,492,147,11.6,56
380,4068,Clearwater/Rocky,AB,B,54.2,-119.870003,1828,0,10.4,-10.5,21,1005,509,10,20.5,1386,573,6541,4,126,170,246,76,477,-44.3,26.9,344,0,12.4,64
381,4073,Calling Lake,AB,B,52.55,-115.93,1295,1.4,13.3,-11.8,25.1,582,412,19.6,32.2,1326,923,6040,12,134,160,246,86,149,-45.1,31.3,509,43,12.7,55
382,5285,Alder Flats (combined single lots),AB,B,54.82,-112.949997,640,1.2,16,-16.7,32.7,484,328,23.2,48.8,1764,1284,6120,38,153,145,251,106,129,-45.9,33.7,537,168,12.3,57
383,5428,Carrot Creek (combined single lots),AB,B,52.78,-114.900002,1060,2.6,15.2,-11.7,26.9,557,395,22.6,38.5,1273,1240,5619,30,154,145,255,110,122,-44.6,32.8,543,98,12.8,57
384,5429,Little Berland River,AB,B,53.45,-115.5,916,2.3,15.1,-12.2,27.2,590,425,20.8,35.5,1337,1213,5714,27,150,150,251,101,128,-45.4,32.6,547,80,12.4,55
385,5430,Porcupine Hills,AB,B,53.55,-118.199997,1524,0.3,11.5,-11,22.5,696,420,14.8,27.4,1420,689,6447,6,131,159,251,92,268,-45.6,28.4,375,0,13,61
